iter	RMSE
0	320127.6111
1	301500.779
2	284065.7171
3	268991.91
4	256271.5593
5	244643.6523
6	234172.516
7	224952.7444
8	217342.3114
9	210440.6066
10	204291.8942
11	198936.8203
12	194144.4124
13	188894.5074
14	184497.5293
15	180775.4118
16	177107.1521
17	174409.7687
18	171141.3365
19	168566.5748
20	166559.7224
21	164181.4165
22	161804.9518
23	160390.0909
24	158821.1694
25	157456.5964
26	156460.8472
27	155292.3041
28	153551.2258
29	152146.4599
30	151284.7514
31	150042.7925
32	148887.9653
33	147780.8058
34	146723.5532
35	145850.0949
36	145179.0896
37	144687.2562
38	144049.6196
39	143420.4311
40	142716.8689
41	142255.7477
42	141864.0448
43	140818.3457
44	139771.5825
45	139287.8311
46	138520.8058
47	138034.0614
48	137387.2289
49	136780.6927
50	136319.8352
51	136163.5599
52	135519.6446
53	135028.7962
54	134775.0385
55	134200.5531
56	133784.4362
57	133629.4973
58	132529.3779
59	132232.79
60	131967.0678
61	131755.6153
62	131266.4996
63	130509.4304
64	129616.453
65	128894.5564
66	128416.2138
67	128001.6327
68	127672.5595
69	127105.1694
70	126403.7439
71	125956.6156
72	125477.3623
73	125056.4321
74	125019.096
75	124644.0979
76	124507.9271
77	124272.5925
78	123995.4606
79	123649.6499
80	123463.6422
81	123061.7205
82	123018.4758
83	122645.8171
84	122271.0235
85	121716.1977
86	121403.0072
87	121304.8552
88	121025.943
89	120642.9507
90	120316.7095
91	120184.6479
92	119791.1586
93	119365.9612
94	119033.0844
95	118963.6127
96	118926.1497
97	118768.5262
98	118749.0838
99	118309.5267
100	118063.1601
101	117771.3899
102	117397.9827
103	117048.0103
104	116914.4509
105	116723.9604
106	116376.976
107	115838.5314
108	115582.3301
109	115179.1589
110	114972.9341
111	114605.209
112	114497.8025
113	114287.6967
114	114057.9534
115	113823.7989
116	113461.8393
117	113238.3845
118	113045.1056
119	113026.7598
120	112765.7902
121	112539.5982
122	112399.3521
123	112092.7545
124	111858.915
125	111615.2001
126	111377.0551
127	111245.5745
128	110918.8178
129	110551.6463
130	110526.0348
131	110106.1156
132	109988.1923
133	109803.4367
134	109769.3271
135	109594.0445
136	109549.329
137	109485.055
138	109149.4309
139	108862.0394
140	108526.0678
141	108282.3471
142	107929.1741
143	107725.7186
144	107517.7267
145	107302.0085
146	106993.2454
147	106675.0657
148	106394.1337
149	106225.8006
150	106059.7897
151	105622.9824
152	105314.0531
153	105178.6151
154	105088.329
155	104947.2672
156	104688.2981
157	104517.2998
158	104390.2784
159	104244.0094
160	103979.3341
161	103788.592
162	103514.9397
163	103211.5229
164	103088.0912
165	102795.2876
166	102515.7236
167	102282.2575
168	102192.0475
169	101962.714
170	101824.2901
171	101716.9335
172	101489.2909
173	101315.6482
174	101222.5761
175	101058.3864
176	100902.4453
177	100739.7514
178	100559.2889
179	100351.4119
180	100217.2306
181	100031.4896
182	99830.79635
183	99591.42115
184	99461.26466
185	99353.34204
186	99058.96221
187	98908.74903
188	98683.08259
189	98494.16705
190	98314.31094
191	98086.98584
192	98069.59353
193	97789.18623
194	97756.18662
195	97574.22231
196	97455.55419
197	97247.98969
198	97121.18734
199	96892.18548
