,fr_title,original_title,released_date,released_year,actor_1,actor_2,actor_3,directors,writer,distribution,country,category,classification,duration,duration_minutes,allocine_url,image_url,top_actor_1,top_actor_1_mid,top_actor_2,top_actor_2_mid,top_actor_3,top_actor_3_mid,top_director,top_director_mid,top_writer,top_writer_mid,top_distribution,top_distribution_mid,top_pays,summer,automn,winter,spring,is_covid,post_streaming,summer_holidays,christmas_period,is_award_season,prediction
27,Star Wars : Episode III - La Revanche des Sith,Star Wars: Episode III - Revenge of the Sith,2005-05-18,2005,Hayden Christensen,Ewan McGregor,Natalie Portman,George Lucas,George Lucas, The Walt Disney Company France , U.S.A.,Action,Tout public,2h 20min,140,https://www.allocine.fr/film/fichefilm_gen_cfilm=40623.html,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/35/53/23/18423997.jpg,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,859527.0
22,Sinners,Sinners,2025-04-16,2025,Michael B. Jordan,Hailee Steinfeld,Miles Caton,Ryan Coogler,Ryan Coogler, Warner Bros. France , U.S.A.,Action,Interdit - 12 ans,2h 17min,137,https://www.allocine.fr/film/fichefilm_gen_cfilm=326355.html,https://fr.web.img5.acsta.net/c_310_420/img/92/be/92becd382d51ea2183925a41c514180f.jpg,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,440348.0
23,Rapide,Rapide,2025-04-16,2025,Paola Locatelli,Alban Lenoir,Anne Marivin,Morgan S. Dalibert,Morgan S. Dalibert, Universal Pictures International France , France,Action,Tout public,1h 38min,98,https://www.allocine.fr/film/fichefilm_gen_cfilm=1000000495.html,https://fr.web.img4.acsta.net/c_310_420/img/2d/2a/2d2abcc63a0d37228a25fa82cc3a7a00.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,100760.0
33,Until Dawn : La mort sans fin,Until Dawn,2025-04-23,2025,Ella Rubin,Michael Cimino (II),Odessa A’zion,David F. Sandberg,Blair Butler, Sony Pictures Releasing France , U.S.A.,Epouvante-horreur,Interdit - 12 ans avec avertissement,1h 43min,103,https://www.allocine.fr/film/fichefilm_gen_cfilm=325799.html,https://fr.web.img6.acsta.net/c_310_420/img/4a/3c/4a3c5e628d12c7185ef1b35e5108c572.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,95924.0
26,La Légende d'Ochi,The Legend Of Ochi,2025-04-23,2025,Helena Zengel,Willem Dafoe,Emily Watson,Isaiah Saxon,Isaiah Saxon, KMBO , U.S.A.,Aventure,à partir de 8 ans,1h 35min,95,https://www.allocine.fr/film/fichefilm_gen_cfilm=298446.html,https://fr.web.img6.acsta.net/c_310_420/img/f9/d3/f9d3180c99709ba1718007d92f7092e6.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,86937.0
17,Aimons-nous vivants,Aimons-nous vivants,2025-04-16,2025,Gérard Darmon,Valérie Lemercier,Patrick Timsit,Jean-Pierre Améris,Marion Michau, ARP Sélection , France,Comédie,Tout public,1h 30min,90,https://www.allocine.fr/film/fichefilm_gen_cfilm=1000005160.html,https://fr.web.img4.acsta.net/c_310_420/img/a4/90/a49028bd4ba95434be6cfb46c6e32cc6.jpg,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,75868.0
51,Drop Game,Drop,2025-04-23,2025,Meghann Fahy,Brandon Sklenar,Violett Beane,Christopher Landon,Chris Roach, Universal Pictures International France , U.S.A.,Thriller,Tout public avec avertissement,1h 40min,100,https://www.allocine.fr/film/fichefilm_gen_cfilm=327242.html,https://fr.web.img2.acsta.net/c_310_420/img/5c/8e/5c8ec5a9812aabbb21c9710de1427983.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,68489.0
0,La Réparation,La Réparation,2025-04-16,2025,Julia de Nunez,Clovis Cornillac,Julien De Saint-Jean,Régis Wargnier,Manon Feuvray, Nour Films , France,Drame,Tout public,1h 44min,104,https://www.allocine.fr/film/fichefilm_gen_cfilm=1000004184.html,https://fr.web.img6.acsta.net/c_310_420/img/17/e3/17e345631d36e68dba50ee5b4954bac3.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,65065.0
43,Sumo,Sumo,2025-04-25,2025, Shiva,Yogi Babu,Priya Anand, S. P. Hosimin, Shiva, Night ed films , Inde,Drame,Tout public,2h 30min,150,https://www.allocine.fr/film/fichefilm_gen_cfilm=1000022861.html,https://fr.web.img6.acsta.net/c_310_420/img/ee/db/eedb48e4c9192944312f37989dc9397c.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,59781.0
42,The Metropolitan Opera : Les Noces de Figaro,The Metropolitan Opera: Le Nozze di Figaro,2025-04-26,2025,Federica Lombardi,Elizabeth Bishop,Joshua Hopkins,unknown,unknown, Pathé Live , U.S.A.,Opéra,Tout public,3h 55min,235,https://www.allocine.fr/film/fichefilm_gen_cfilm=328532.html,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,50035.0
